iter	RMSE
0	1.613914698
1	1.537983463
2	1.467907203
3	1.404876041
4	1.347535537
5	1.295501996
6	1.248847586
7	1.206315454
8	1.166757157
9	1.131759166
10	1.100617866
11	1.070768023
12	1.042430413
13	1.019831191
14	0.9974267791
15	0.9760558543
16	0.9590270429
17	0.9422743523
18	0.9230491684
19	0.908109625
20	0.8956061539
21	0.8813784813
22	0.8698137214
23	0.8594972354
24	0.8501743516
25	0.8402106452
26	0.8318508742
27	0.8247892037
28	0.8121836838
29	0.8053242957
30	0.7970519144
31	0.7861438432
32	0.7807600832
33	0.775348478
34	0.7692822806
35	0.7644934164
36	0.7563226837
37	0.7522486546
38	0.7433463414
39	0.7385133046
40	0.7303516909
41	0.7268846755
42	0.7234504009
43	0.7162208543
44	0.7129013027
45	0.7092321463
46	0.7028607365
47	0.6999050882
48	0.6971558375
49	0.6928442688
50	0.6889967533
51	0.6862076939
52	0.6837574188
53	0.6817017813
54	0.6796872551
55	0.6778090367
56	0.6751973302
57	0.6722224799
58	0.6692755423
59	0.6675237915
60	0.6655399196
61	0.6638469638
62	0.6607531672
63	0.657737328
64	0.656003108
65	0.6531444472
66	0.6509835188
67	0.6460652678
68	0.6443565965
69	0.6429196235
70	0.6399991816
71	0.638345223
72	0.6347261609
73	0.6327339185
74	0.6291027104
75	0.6272676618
76	0.6260028649
77	0.624786178
78	0.6229863073
79	0.6201367036
80	0.6191461578
81	0.6165160984
82	0.6134657777
83	0.6118958696
84	0.6105292886
85	0.6085085535
86	0.6074315356
87	0.6065319397
88	0.6050482061
89	0.603985317
90	0.6015890331
91	0.6007141187
92	0.5981139874
93	0.5970808803
94	0.5955114716
95	0.593254995
96	0.5919223489
97	0.5910051868
98	0.5898867646
99	0.5883447992
100	0.5871516649
101	0.5862096201
102	0.5852717221
103	0.5843150889
104	0.5824544282
105	0.5816531165
106	0.5809631075
107	0.5792707228
108	0.5779346634
109	0.5763228176
110	0.5755584913
111	0.5746097791
112	0.573609767
113	0.5720636884
114	0.5705902332
115	0.5698658441
116	0.5690129313
117	0.5671960071
118	0.5663885846
119	0.5653312942
120	0.5641788042
121	0.5631837453
122	0.5615977209
123	0.5603957356
124	0.5589711996
125	0.5581753301
126	0.5563646403
127	0.5555272867
128	0.5538440312
129	0.552833186
130	0.5522462975
131	0.5507250587
132	0.5500981476
133	0.5492007698
134	0.548419277
135	0.5472396736
136	0.5466510206
137	0.5457817163
138	0.544784033
139	0.543937258
140	0.5425341701
141	0.5418744455
142	0.5407985793
143	0.5400094412
144	0.5392667448
145	0.5385089853
146	0.5377552847
147	0.5367228269
148	0.5356503005
149	0.5347283529
150	0.5340821687
151	0.5334170377
152	0.5327231195
153	0.5320698215
154	0.5315377414
155	0.5304498439
156	0.529227472
157	0.5283788151
158	0.5277159811
159	0.5268890204
160	0.5260055292
161	0.5255356036
162	0.5245776335
163	0.5235473872
164	0.522887757
165	0.5224739983
166	0.5217853066
167	0.5206690151
168	0.5198728465
169	0.5192425922
170	0.5183195302
171	0.5175510612
172	0.5168445126
173	0.5163076529
174	0.5157685648
175	0.5152231988
176	0.5147115526
177	0.5142926083
178	0.5134324928
179	0.5124620933
180	0.5114079977
181	0.5103258685
182	0.5099049562
183	0.5094895285
184	0.5088910744
185	0.508205311
186	0.5075250252
187	0.5067275945
188	0.5062696344
189	0.5057241914
190	0.5052440463
191	0.5046738846
192	0.5042550057
193	0.503625218
194	0.5027814729
195	0.5023259929
196	0.5018668816
197	0.5013778427
198	0.500862045
199	0.5001894969
200	0.4997983263
201	0.4992704542
202	0.498688451
203	0.4978945059
204	0.4971460096
205	0.4966598522
206	0.4962890318
207	0.4958346412
208	0.4952142798
209	0.4943433397
210	0.4936550089
211	0.4930264168
212	0.4925823028
213	0.4920340336
214	0.4915741835
215	0.4911326747
216	0.4907540555
217	0.4903143106
218	0.4898659789
219	0.4894804045
220	0.4888177602
221	0.4884388151
222	0.4880361892
223	0.4875187189
224	0.4869373333
225	0.4864485349
226	0.4859917062
227	0.4855575224
228	0.4849290045
229	0.4841687722
230	0.483730225
231	0.4833382601
232	0.4826665959
233	0.4822416487
234	0.4818647344
235	0.4814061784
236	0.4808413233
237	0.4803718405
238	0.4800812633
239	0.4796368523
240	0.4792683092
241	0.478963123
242	0.478264549
243	0.4777710254
244	0.4774260858
245	0.4768959027
246	0.4765289563
247	0.4761098427
248	0.475776186
249	0.4752253131
250	0.4749651576
251	0.4745861611
252	0.474144542
253	0.4736464249
254	0.473289642
255	0.4727021117
256	0.4723497025
257	0.4719640384
258	0.471665807
259	0.4713539505
260	0.4709505158
261	0.4704294912
262	0.4701413866
263	0.4698859605
264	0.4696224038
265	0.4689763403
266	0.4683905628
267	0.4680279956
268	0.467678665
269	0.4669884424
270	0.466621934
271	0.4661121329
272	0.4657983149
273	0.4651487711
274	0.4647193326
275	0.4642487357
276	0.4638141337
277	0.4635279092
278	0.4631620071
279	0.4628266746
280	0.4625646187
281	0.4622041848
282	0.4618525281
283	0.4615669612
284	0.4611677236
285	0.4607911137
286	0.460575185
287	0.4600786916
288	0.4597234698
289	0.4592331354
290	0.4589365757
291	0.4585317475
292	0.458071177
293	0.4577116868
294	0.4572610642
295	0.4568616033
296	0.4565597136
297	0.4562409957
298	0.4559018696
299	0.4556753109
