iter	Passed	Remaining
0	16	4861
1	31	4755
2	45	4508
3	59	4404
4	74	4368
5	87	4283
6	101	4244
7	114	4196
8	128	4139
9	141	4091
10	154	4050
11	167	4008
12	179	3959
13	192	3937
14	207	3943
15	221	3931
16	234	3904
17	263	4122
18	278	4123
19	291	4079
20	304	4043
21	318	4030
22	332	4009
23	346	3980
24	359	3956
25	372	3930
26	386	3909
27	398	3869
28	411	3848
29	425	3827
30	440	3818
31	455	3817
32	468	3792
33	482	3776
34	495	3751
35	508	3726
36	520	3699
37	532	3673
38	546	3654
39	558	3629
40	571	3609
41	582	3578
42	594	3552
43	607	3535
44	620	3517
45	633	3496
46	651	3507
47	667	3501
48	679	3482
49	692	3464
50	706	3448
51	718	3428
52	730	3404
53	740	3375
54	752	3352
55	764	3329
56	777	3312
57	790	3299
58	802	3278
59	814	3258
60	827	3240
61	839	3224
62	853	3211
63	867	3199
64	880	3184
65	893	3168
66	905	3150
67	919	3138
68	931	3118
69	942	3097
70	956	3084
71	967	3064
72	979	3046
73	993	3033
74	1006	3019
75	1019	3005
76	1031	2987
77	1043	2971
78	1056	2956
79	1071	2946
80	1084	2931
81	1098	2919
82	1112	2908
83	1125	2893
84	1137	2878
85	1152	2868
86	1163	2847
87	1174	2829
88	1187	2814
89	1199	2798
90	1212	2785
91	1223	2766
92	1238	2756
93	1250	2740
94	1267	2735
95	1282	2726
96	1311	2744
97	1323	2727
98	1336	2713
99	1349	2699
100	1363	2686
101	1375	2670
102	1387	2653
103	1397	2634
104	1411	2620
105	1422	2604
106	1434	2587
107	1448	2574
108	1461	2560
109	1477	2551
110	1491	2539
111	1505	2526
112	1518	2512
113	1532	2500
114	1547	2490
115	1562	2477
116	1576	2465
117	1590	2452
118	1605	2441
119	1621	2431
120	1635	2419
121	1650	2407
122	1665	2396
123	1681	2386
124	1697	2376
125	1711	2363
126	1726	2351
127	1740	2338
128	1754	2326
129	1769	2313
130	1782	2299
131	1798	2289
132	1812	2275
133	1826	2262
134	1839	2248
135	1853	2234
136	1865	2219
137	1879	2206
138	1897	2197
139	1910	2183
140	1926	2172
141	1939	2157
142	1951	2142
143	1964	2128
144	1977	2114
145	1991	2100
146	2004	2086
147	2019	2073
148	2032	2060
149	2046	2046
150	2061	2034
151	2077	2022
152	2096	2014
153	2123	2013
154	2140	2002
155	2158	1992
156	2174	1980
157	2188	1966
158	2203	1953
159	2217	1940
160	2233	1928
161	2248	1915
162	2262	1901
163	2279	1890
164	2294	1877
165	2309	1863
166	2325	1852
167	2341	1839
168	2356	1826
169	2369	1812
170	2385	1799
171	2400	1786
172	2416	1773
173	2431	1760
174	2447	1748
175	2462	1735
176	2476	1720
177	2489	1706
178	2504	1693
179	2518	1679
180	2533	1665
181	2549	1652
182	2562	1638
183	2577	1624
184	2591	1611
185	2607	1598
186	2623	1585
187	2638	1572
188	2653	1558
189	2668	1545
190	2686	1533
191	2706	1522
192	2720	1508
193	2737	1495
194	2755	1483
195	2771	1470
196	2786	1457
197	2801	1443
198	2817	1429
199	2833	1416
200	2848	1402
201	2863	1389
202	2877	1374
203	2892	1361
204	2906	1347
205	2921	1333
206	2937	1319
207	2952	1305
208	2969	1293
209	2985	1279
210	3002	1266
211	3018	1253
212	3033	1239
213	3047	1224
214	3062	1210
215	3077	1196
216	3093	1183
217	3108	1169
218	3123	1155
219	3141	1142
220	3157	1128
221	3172	1114
222	3187	1100
223	3203	1086
224	3218	1072
225	3235	1059
226	3251	1045
227	3266	1031
228	3282	1017
229	3296	1003
230	3311	989
231	3326	975
232	3343	961
233	3357	946
234	3369	931
235	3382	917
236	3396	902
237	3409	888
238	3421	873
239	3435	858
240	3447	844
241	3459	829
242	3472	814
243	3485	799
244	3498	785
245	3512	771
246	3527	756
247	3544	743
248	3558	728
249	3573	714
250	3585	699
251	3599	685
252	3613	671
253	3626	656
254	3641	642
255	3656	628
256	3669	614
257	3683	599
258	3696	585
259	3709	570
260	3722	556
261	3735	541
262	3748	527
263	3761	512
264	3774	498
265	3787	484
266	3800	469
267	3813	455
268	3827	441
269	3840	426
270	3853	412
271	3866	397
272	3880	383
273	3895	369
274	3909	355
275	3922	341
276	3935	326
277	3948	312
278	3963	298
279	3976	284
280	3989	269
281	4002	255
282	4015	241
283	4027	226
284	4041	212
285	4055	198
286	4067	184
287	4082	170
288	4097	155
289	4112	141
290	4125	127
291	4140	113
292	4158	99
293	4173	85
294	4189	71
295	4203	56
296	4216	42
297	4229	28
298	4242	14
299	4253	0
